province,female_approval,male_approval,region,regioncolor
Anhui,2.541254125,2.49375,South,yellow
Beijing,2.664,2.697478992,North,grey
Chongqing,2.327731092,2.243902439,South,yellow
Fujian,2.593220339,2.442528736,South,yellow
Gansu,2.618861607,2.575418994,North,grey
Guangdong,2.779179811,2.743435859,South,yellow
Guangxi,2.588996764,2.567073171,South,yellow
Guizhou,2.514106583,2.502590674,South,yellow
Hainan,3,4,South,yellow
Hebei,2.650684932,2.631022327,North,grey
Heilongjiang,2.764822134,2.823651452,North,grey
Henan,2.661681279,2.585783004,North,grey
Hubei,2.487179487,2.378504673,North,grey
Hunan,2.716455696,2.786259542,South,yellow
Inner mongolia,3.25,3.4,North,grey
Jiangsu,2.816568047,2.770967742,South,yellow
Jiangxi,2.812977099,2.690839695,South,yellow
Jilin,2.641221374,2.631372549,North,grey
Liaoning,2.632971506,2.613065327,North,grey
Shaanxi,2.590643275,2.755287009,North,grey
Shandong,2.530748663,2.489740082,North,grey
Shanghai,2.691625616,2.633300297,South,yellow
Shanxi,2.651428571,2.654814815,North,grey
Sichuan,2.572377158,2.492307692,South,yellow
Tianjin,3.067307692,3.235294118,North,grey
Yunnan,2.3,2.296747967,South,yellow
Zhejiang,2.837748344,2.608843537,South,yellow
